1,000111222,1,988865,2,1736284680
2,721121014,1,159134,2,1736284680
3,331000522,1,767302,2,1736284680
4,123121313,1,079014,2,1736284680
5,000000000,1,033629,1,1736284680
6,555555555,1,167834,1,1736284680
7,3,1,380441,2,1736284680
8,3,1,494346,2,1736284680
9,3,1,468708,2,1736284680
10,2,2,435368,2,1736284680
11,2,0,301718,2,1736263586
12,2,0,071634,2,1736263588
13,2,0,662627,2,1736263590
14,2,0,352531,2,1736263592
15,2,0,923544,2,1736263594
16,2,0,329993,2,1736263595
17,2,0,999906,2,1736263597
18,2,0,293543,2,1736263598
19,2,0,964366,2,1736263600
20,2,0,260903,2,1736263601
21,2,0,930719,2,1736263603
22,1212,0,375876,2,1736263739
23,123 456,0,996891,1,1736276223
24,123 456,0,091967,1,1736280812
25,2,0,402877,1,1736284448
26,4,0,095948,1,1736284557
